SPECIMEN #,SPECIES,SUBSPECIES,SEX,SKULL LENGTH,CRANIAL WIDTH,NEUROCR HT,FACIAL HEIGHT,PALATE LENGTH,PALATE WIDTH,COMMENTS
USNM 501102,Saguinus oedipus,,F,50.55,23.09,27.44,15.09,15.63,17.56,
USNM 501106,Saguinus oedipus,,F,48.51,21.41,27.44,14.28,14.55,16.47,
USNM 501084,Saguinus oedipus,,F,49.78,22.63,25.63,14.87,15.73,17.01,
USNM 501085,Saguinus oedipus,,M,47.88,21.72,26.62,12.79,14.56,16.57,
USNM 501087,Saguinus oedipus,,M,47.39,21.70,26.93,13.65,13.71,15.89,
USNM 501089,Saguinus oedipus,,M,49.39,22.28,27.54,15.74,15.17,16.48,
USNM 501099,Saguinus oedipus,,F,49.59,22.09,26.07,14.11,15.14,16.35,patent metopic suture
USNM 397927,Saguinus oedipus,,?,48.55,21.57,26.62,14.47,14.66,15.63,
USNM 398814,Saguinus oedipus,,M,49.88,20.93,26.59,13.25,14.93,16.56,
USNM 501093,Saguinus oedipus,,M,47.68,20.31,25.58,13.41,14.06,15.74,
USNM 501086,Saguinus oedipus,,F,46.40,20.87,26.41,13.95,14.38,15.79,
USNM 501094,Saguinus oedipus,,M,50.09,21.48,26.33,15.20,15.18,16.82,possesses left maxillary M3
USNM 501101,Saguinus oedipus,,M,49.20,21.14,26.51,13.89,14.64,16.34,
USNM 501105,Saguinus oedipus,,M,48.02,22.17,25.58,14.17,14.97,16.30,frontonasal suture partially obliterated
USNM 501097,Saguinus oedipus,,M,48.13,22.36,25.36,13.78,14.51,16.64,
USNM 501083,Saguinus oedipus,,M,47.52,20.38,28.21,13.66,14.93,16.21,
USNM 501098,Saguinus oedipus,,M,49.28,21.11,26.02,15.12,14.76,16.89,sagittal suture partially open
USNM 501104,Saguinus oedipus,,F,47.99,22.16,27.64,13.05,14.34,16.74,sagittal and frontonasal sutures partially oblliterated
USNM 397275,Saguinus oedipus,,M,49.80,22.99,27.30,15.36,15.28,17.31,
USNM 503401,Saguinus oedipus,,M,48.62,21.69,25.97,14.18,15.45,16.19,
USNM 397250,Saguinus oedipus,,M,48.77,21.83,25.68,14.57,13.43,15.82,patent (but incomplete) metopic suture
USNM 221004,Saguinus oedipus,,M,47.54,21.95,25.49,13.76,14.42,16.15,
USNM 506217,Saguinus oedipus,,F,47.08,21.97,24.41,14.52,14.03,15.95,
USNM 241393,Cebus albifrons,versicolor,F,84.22,40.73,45.12,25.30,26.17,25.59,
USNM 241392,Cebus albifrons,versicolor,M,93.30,44.75,51.77,28.85,29.78,28.86,reidentified as male (originally labeled female)
USNM 281605,Cebus albifrons,versicolor,F,86.46,41.58,45.37,28.26,28.79,26.30,
USNM 398446,Cebus albifrons,,F,83.95,38.97,43.50,26.70,27.11,25.40,nasal bones do not articulate with frontal (nasion located as intersection of intermaxillary suture and frontal bone)
USNM 282122,Cebus albifrons,trinitatis,?,86.77,40.99,45.32,28.26,26.70,26.72,frontonasal suture partially obliterated
USNM 281608,Cebus albifrons,versicolor,M,89.35,41.97,46.54,29.23,29.35,25.89,
USNM 461718,Cebus albifrons,unicolor,M,98.32,41.19,50.54,34.45,34.70,29.75,
USNM 281607,Cebus albifrons,versicolor,M,86.21,40.89,44.46,28.87,27.47,25.87,
USNM 397937,Cebus albifrons,,M,92.60,42.20,45.52,32.38,29.73,29.19,
USNM 281629,Cebus albifrons,versicolor,M,89.88,41.55,48.61,31.66,29.61,26.86,
USNM 398450,Cebus albifrons,,F,85.47,38.78,44.62,25.10,25.55,24.77,
USNM 398443,Cebus albifrons,,?,82.50,39.16,45.56,26.65,25.73,24.76,
USNM 398449,Cebus albifrons,,M,81.98,36.71,46.57,26.57,25.77,26.27,
USNM 398445,Cebus albifrons,,F,86.27,40.56,44.78,27.46,27.50,26.71,
USNM 397961,Cebus albifrons,,F,88.21,40.67,48.28,29.22,29.29,25.67,
USNM 397938,Cebus albifrons,,F,85.78,39.63,46.22,27.14,27.79,26.70,
USNM 397934,Cebus albifrons,,?,84.81,39.67,46.77,29.73,27.82,26.85,
USNM 398448,Cebus albifrons,,F,83.03,41.49,45.06,26.81,25.69,26.32,
USNM 281621,Cebus albifrons,versicolor,M,91.27,42.53,47.14,30.06,28.57,27.76,
USNM 281591,Cebus albifrons,versicolor,M,87.53,40.99,48.52,28.26,28.70,26.86,
USNM 281571,Cebus albifrons,versicolor,M,89.11,42.06,48.47,27.81,27.25,29.07,
USNM 281570,Cebus albifrons,versicolor,F,91.02,43.95,44.50,34.67,29.02,28.01,
USNM 281578,Cebus albifrons,versicolor,F,85.11,41.55,43.46,31.43,28.18,25.09,
USNM 281598,Cebus albifrons,versicolor,F,85.33,36.37,43.32,32.47,28.51,24.82,frontonasal suture partially obliterated
USNM 281592,Cebus albifrons,versicolor,M,91.17,42.19,45.99,29.45,29.32,26.17,
USNM 281618,Cebus albifrons,versicolor,M,88.37,40.95,47.45,27.26,28.64,25.00,
USNM 281613,Cebus albifrons,versicolor,F,82.12,38.74,46.38,29.45,26.95,26.04,
USNM 281623,Cebus albifrons,versicolor,M,91.45,41.41,47.03,32.81,30.13,28.13,
USNM 281601,Cebus albifrons,versicolor,M,88.80,41.14,45.72,31.85,27.88,26.37,
USNM 281579,Cebus albifrons,versicolor,M,90.47,43.28,47.32,32.93,31.40,27.88,"maxillary M3 not present, but spheno-ocipital synchondrosis is fused (specimen is adult)"
USNM 281604,Cebus albifrons,versicolor,F,86.98,40.80,46.30,29.94,28.06,25.88,
USNM 281568,Cebus albifrons,versicolor,F,84.43,39.23,48.68,30.05,25.65,26.44,
USNM 281567,Cebus albifrons,versicolor,F,88.41,41.47,47.08,31.23,28.38,28.29,
USNM 518470,Cebus libidinosus,libidinosus,F,86.12,38.24,47.28,30.54,26.40,26.74,
USNM 518471,Cebus libidinosus,libidinosus,F,88.58,39.85,48.36,30.72,27.63,27.62,frontonasal suture partially obliterated
USNM 518476,Cebus libidinosus,libidinosus,F,86.26,39.20,46.06,31.66,26.18,27.24,frontonasal suture partially obliterated
USNM 518415,Cebus libidinosus,libidinosus,M,87.48,42.01,45.83,33.92,30.00,25.96,
USNM 518466,Cebus libidinosus,libidinosus,F,86.42,40.69,46.41,30.89,28.34,27.06,"frontonasal suture nearly completely obliterated; left maxillary M3 missing, but specimen is adult"
USNM 518474,Cebus libidinosus,libidinosus,M,94.98,41.79,52.54,35.07,31.29,28.30,
USNM 518414,Cebus libidinosus,libidinosus,M,95.48,45.11,50.81,34.65,33.29,28.71,
USNM 518410,Cebus libidinosus,libidinosus,F,87.10,40.90,48.38,32.09,29.63,26.74,
USNM 518411,Cebus libidinosus,libidinosus,F,85.64,38.71,45.78,30.16,28.39,26.98,
USNM 518419,Cebus libidinosus,libidinosus,?,90.61,41.28,48.29,36.69,31.83,27.92,
USNM 518409,Cebus libidinosus,libidinosus,M,95.49,45.08,49.46,34.81,32.52,28.23,
USNM 518413,Cebus libidinosus,libidinosus,?,84.31,40.13,45.57,28.87,28.23,27.47,
USNM 518344,Cebus libidinosus,libidinosus,F,84.06,40.13,48.78,31.24,29.21,27.35,frontonasal suture partially obliterated
USNM 518347,Cebus libidinosus,libidinosus,F,83.94,37.37,51.24,28.89,28.73,26.29,
USNM 518366,Cebus libidinosus,libidinosus,M,92.45,43.21,49.55,37.24,33.12,27.87,
USNM 518349,Cebus libidinosus,libidinosus,F,82.96,39.22,46.13,31.45,26.38,26.07,
USNM 518341,Cebus libidinosus,libidinosus,F,86.75,39.53,49.96,31.45,28.96,27.64,
USNM 518340,Cebus libidinosus,libidinosus,M,94.92,44.08,48.51,35.74,32.58,27.65,frontonasal suture partially obliterated
USNM 518337,Cebus libidinosus,libidinosus,M,95.13,43.47,50.20,35.85,34.36,31.75,frontonasal suture nearly completely obliterated
USNM 518365,Cebus libidinosus,libidinosus,M,93.07,44.62,52.12,39.54,32.52,29.25,frontonasal suture partially obliterated; maxillary M3s are pegs
USNM 518352,Cebus libidinosus,libidinosus,M,92.85,41.69,50.97,33.22,31.51,26.78,frontonasal suture partially obliterated
USNM 518338,Cebus libidinosus,libidinosus,M,97.18,43.68,52.78,33.75,32.93,30.01,
USNM 518350,Cebus libidinosus,libidinosus,F,85.11,39.96,49.31,35.54,28.83,27.81,frontonasal suture partially obliterated
USNM 518282,Cebus libidinosus,libidinosus,M,96.37,41.67,55.42,35.27,30.92,28.17,frontonasal suture nearly completely obliterated
USNM 518283,Cebus libidinosus,libidinosus,F,86.73,41.09,48.49,34.73,28.11,26.69,frontonasal suture partially obliterated
USNM 518276,Cebus libidinosus,libidinosus,M,93.31,42.33,49.79,32.43,29.96,26.49,
USNM 518281,Cebus libidinosus,libidinosus,F,89.60,39.50,51.50,31.54,27.40,27.42,
USNM 518273,Cebus libidinosus,libidinosus,F,91.86,39.36,52.37,28.08,27.72,26.64,
USNM 518279,Cebus libidinosus,libidinosus,M,96.28,41.97,54.10,33.14,31.45,28.55,
USNM 518418,Cebus libidinosus,libidinosus,F,87.21,39.61,46.83,30.14,28.56,28.55,frontonasal suture partially obliterated
USNM 461723,Cebus apella,macrocephalus,F,93.10,42.38,53.32,35.34,29.35,29.21,frontonasal suture partially obliterated
USNM 547900,Cebus apella,,F,81.53,37.69,46.08,26.49,25.80,24.73,
USNM 241395,Cebus apella,,M,100.23,44.12,53.92,36.91,33.56,32.42,
USNM 241396,Cebus apella,,F,91.30,41.90,49.69,31.95,29.35,28.97,
USNM 338957,Cebus apella,apella,F,91.95,41.01,51.99,32.44,29.94,28.32,
USNM 241397,Cebus apella,,F,91.56,43.27,51.46,37.45,29.79,28.86,"originally labelled male, but reidentified on specimen as female; very small canines"
USNM 296639,Cebus apella,apella,F,90.29,43.11,50.78,35.12,32.33,29.61,frontonasal suture partially obliterated
USNM 338956,Cebus apella,apella,F,97.34,44.42,58.29,38.18,33.43,31.11,
USNM 518356,Cebus apella,,F,88.14,39.73,50.02,33.93,28.51,25.23,
USNM 112150,Cebus apella,,M,95.76,42.81,50.74,30.44,32.20,28.67,
USNM 547902,Cebus apella,,F,91.38,42.85,48.57,33.00,32.07,29.03,
USNM 518445,Cebus apella,,M,92.59,41.54,53.33,36.71,31.39,27.40,
USNM 518447,Cebus apella,,F,87.96,41.65,50.81,33.98,27.93,27.13,
USNM 518355,Cebus apella,,F,86.44,39.10,52.77,31.24,27.92,26.25,frontonasal suture partially obliterated
USNM 518260,Cebus apella,,M,100.43,43.79,53.47,34.96,33.78,30.04,
USNM 397953,Cebus apella,,M,98.17,43.22,55.18,38.52,33.69,31.10,
USNM 398456,Cebus apella,,F,85.41,40.75,46.83,24.21,29.57,27.03,
USNM 283185,Cebus apella,apella,M,91.72,39.93,49.35,32.03,30.06,28.17,
USNM 398453,Cebus apella,,M,92.52,45.19,51.46,36.00,32.31,28.43,
USNM 518261,Cebus apella,,F,88.48,39.41,49.84,31.50,29.80,28.93,
USNM 518354,Cebus apella,,M,94.58,42.24,54.79,33.59,31.48,27.26,frontonasal suture partially obliterated
USNM 397258,Cebus apella,,F,88.34,41.60,47.60,31.92,31.03,27.16,
USNM 396994,Cebus apella,,M,91.79,42.17,51.12,30.71,33.02,28.22,frontonasal suture partially obliterated
USNM 396008,Cebus apella,,M,91.19,43.63,49.44,29.90,29.30,28.66,
USNM 461724,Cebus apella,macrocephalus,F,88.98,42.70,48.16,33.11,29.55,28.59,
USNM 461722,Cebus apella,macrocephalus,M,97.98,44.06,55.54,36.06,32.01,30.77,frontonasal suture partially obliterated
USNM 461719,Cebus apella,macrocephalus,M,95.07,45.33,54.51,39.07,32.26,30.30,
USNM 518432,Cebus nigritus,robustus,F,91.63,40.37,50.68,35.21,30.99,27.31,
USNM 518436,Cebus nigritus,robustus,F,89.48,40.90,51.09,36.36,29.73,28.51,
USNM 518320,Cebus nigritus,robustus,F,88.51,39.30,49.38,33.40,30.02,27.61,
USNM 518434,Cebus nigritus,robustus,F,91.10,41.51,50.22,35.28,29.57,28.46,
USNM 518425,Cebus nigritus,robustus,M,93.22,43.69,51.09,32.44,34.20,27.72,
USNM 518435,Cebus nigritus,robustus,M,95.68,41.97,54.81,33.06,32.79,30.10,
USNM 518312,Cebus nigritus,robustus,M,101.06,44.00,53.02,36.50,35.63,30.43,
USNM 518426,Cebus nigritus,robustus,F,90.04,41.75,49.08,31.51,30.94,29.87,
USNM 518433,Cebus nigritus,robustus,F,90.55,41.22,49.87,33.18,32.44,28.33,frontonasal suture partially obliterated
USNM 518364,Cebus nigritus,nigritus,F,87.98,40.78,51.68,34.33,28.14,29.38,
USNM 518421,Cebus nigritus,nigritus,F,86.46,39.69,49.31,33.77,28.21,28.07,frontonasal suture partially obliterated
USNM 518424,Cebus nigritus,nigritus,M,89.38,41.10,46.87,31.44,29.57,28.50,
USNM 518422,Cebus nigritus,nigritus,M,100.51,42.68,54.00,41.59,33.16,31.18,
USNM 518385,Cebus nigritus,nigritus,M,102.30,43.22,52.91,34.86,34.01,30.74,
USNM 518383,Cebus nigritus,nigritus,F,86.99,36.22,47.09,31.98,29.56,27.40,
USNM 518361,Cebus nigritus,nigritus,F,89.51,38.48,50.43,34.85,30.03,28.70,frontonasal suture partially obliterated
USNM 518363,Cebus nigritus,nigritus,M,89.80,40.12,52.58,33.70,29.61,28.45,
USNM 518362,Cebus nigritus,nigritus,F,87.92,40.66,50.85,28.67,27.54,27.60,
USNM 518359,Cebus nigritus,nigritus,M,100.49,43.52,52.98,37.74,32.21,31.39,
USNM 518309,Cebus nigritus,nigritus,F,92.06,40.30,47.02,37.39,31.25,28.78,
USNM 518483,Cebus nigritus,nigritus,M,99.18,42.57,54.05,39.57,34.81,29.47,frontonasal suture partially obliterated
USNM 518310,Cebus nigritus,nigritus,M,97.60,42.63,55.94,37.63,32.40,29.12,frontonasal suture partially obliterated
USNM 518460,Cebus nigritus,nigritus,M,96.41,41.77,51.21,36.94,33.50,29.94,
USNM 518457,Cebus nigritus,nigritus,F,90.23,39.87,48.76,32.95,29.78,28.42,
USNM 518427,Cebus nigritus,robustus,F,91.99,42.02,51.08,36.21,31.67,29.71,
USNM 518479,Cebus nigritus,nigritus,M,98.33,41.96,55.87,38.48,33.94,29.92,
USNM 518488,Cebus nigritus,nigritus,F,97.26,42.83,50.01,40.24,31.53,28.73,
USNM 518454,Cebus nigritus,nigritus,F,88.40,39.83,48.97,31.90,29.45,27.53,
USNM 518464,Cebus nigritus,nigritus,M,93.79,42.94,52.13,34.39,31.84,28.42,
USNM 518489,Cebus nigritus,nigritus,M,99.12,44.88,53.46,40.19,34.14,29.96,
USNM 518263,Cebus xanthosternos,,F,90.51,42.29,49.02,34.49,30.56,28.92,
USNM 518306,Cebus xanthosternos,,M,97.49,41.25,50.83,40.39,33.06,29.18,
USNM 518304,Cebus xanthosternos,,F,89.91,38.54,46.44,34.48,30.40,27.22,
USNM 518301,Cebus xanthosternos,,F,91.59,41.70,46.80,31.71,34.66,28.12,
USNM 518307,Cebus xanthosternos,,M,93.05,41.62,49.55,34.59,31.56,28.13,
USNM 518296,Cebus xanthosternos,,M,98.37,41.67,51.68,36.32,35.02,29.37,
USNM 518300,Cebus xanthosternos,,M,94.16,40.82,47.95,39.23,32.89,29.85,
USNM 518297,Cebus xanthosternos,,M,92.77,41.39,50.66,36.58,33.37,28.51,
USNM 518264,Cebus xanthosternos,,M,93.82,42.79,51.87,34.92,33.63,29.96,
USNM 518265,Cebus xanthosternos,,M,95.56,41.74,50.33,35.43,30.92,30.42,
USNM 306827,Cebus capucinus,,M,104.10,46.79,55.67,34.25,34.78,29.64,
USNM 291236,Cebus capucinus,,M,97.22,42.75,48.00,31.35,34.04,28.35,
USNM 284912,Cebus capucinus,,F,94.20,41.76,51.43,33.76,30.85,28.14,
USNM 296285,Cebus capucinus,,M,100.84,44.32,53.01,32.71,34.73,31.22,
USNM 291228,Cebus capucinus,,M,97.78,43.50,51.17,34.99,33.70,29.10,
USNM 305581,Cebus capucinus,,F,90.21,41.12,52.61,34.07,30.74,27.01,
USNM 291227,Cebus capucinus,,F,97.58,42.86,51.48,32.77,32.39,27.47,
USNM 291224,Cebus capucinus,,M,98.90,43.53,52.35,35.10,33.50,29.80,
USNM 284940,Cebus capucinus,,F,91.58,40.66,47.98,32.42,30.50,26.65,
USNM 283904,Cebus capucinus,,M,103.68,46.16,53.33,39.78,36.65,30.19,
USNM 284927,Cebus capucinus,,M,103.32,47.25,52.55,37.00,35.84,31.27,
USNM 284963,Cebus capucinus,,M,97.70,45.13,49.79,33.28,34.42,29.20,
USNM 171073,Cebus capucinus,,F,89.72,39.69,48.64,31.73,31.04,25.64,
USNM 284928,Cebus capucinus,,F,90.36,41.24,47.46,30.78,30.69,27.96,
USNM 199606,Cebus capucinus,,F,86.44,38.61,48.80,29.88,27.54,27.02,
USNM 284775,Cebus capucinus,,M,98.58,45.43,49.75,30.97,33.52,30.92,
USNM 284944,Cebus capucinus,,M,92.80,40.04,51.36,34.20,30.97,26.67,
USNM 291222,Cebus capucinus,,M,98.07,43.06,50.57,32.17,33.11,29.30,
USNM 284945,Cebus capucinus,,M,94.99,43.68,52.06,32.06,31.34,28.47,
USNM 284943,Cebus capucinus,,M,100.54,43.35,51.82,36.71,34.86,28.95,
USNM 291225,Cebus capucinus,,F,91.63,41.43,48.67,29.26,30.85,26.84,
USNM 305582,Cebus capucinus,,M,103.26,46.19,54.53,36.58,35.56,30.23,frontonasal suture partially obliterated
USNM 303091,Cebus capucinus,,M,96.60,42.39,51.03,37.51,31.56,28.71,
USNM 305583,Cebus capucinus,,M,97.83,42.32,54.09,36.28,33.19,29.97,
USNM 284939,Cebus capucinus,,F,90.01,39.78,48.51,30.41,29.90,25.88,
USNM 291223,Cebus capucinus,,F,93.33,41.16,47.07,33.35,31.25,27.88,
USNM 284930,Cebus capucinus,,F,95.90,41.03,50.09,33.44,32.30,28.59,
USNM 291231,Cebus capucinus,,F,92.35,40.71,47.80,30.79,31.38,27.00,
USNM 362295,Cebus capucinus,,F,93.35,41.92,48.52,30.57,31.26,28.59,
USNM 324239,Cebus capucinus,,F,93.29,42.37,48.17,32.59,29.66,29.91,
USNM 338118,Cebus capucinus,,F,94.56,40.75,49.39,33.84,30.52,29.26,
USNM 398654,Saimiri sciureus,,M,63.28,26.48,33.81,16.29,16.31,19.94,
USNM 398663,Saimiri sciureus,,M,63.43,26.75,34.43,20.82,16.48,20.40,
USNM 398668,Saimiri sciureus,,F,62.52,26.00,33.53,17.02,15.90,19.89,
USNM 398670,Saimiri sciureus,,M,59.78,24.83,31.25,17.41,14.40,18.03,
USNM 398665,Saimiri sciureus,,M,64.07,25.55,35.47,19.79,17.09,19.67,
USNM 398662,Saimiri sciureus,,M,64.18,27.13,35.68,21.15,15.40,19.27,
USNM 398660,Saimiri sciureus,,F,59.83,24.82,34.11,16.82,14.46,18.11,
USNM 398699,Saimiri sciureus,,M,66.18,28.44,35.18,22.32,17.13,20.24,
USNM 398666,Saimiri sciureus,,M,64.68,26.18,34.96,21.23,16.29,18.58,
USNM 398627,Saimiri sciureus,,F,62.58,25.23,36.24,17.44,15.14,18.67,
USNM 398652,Saimiri sciureus,,M,62.54,24.24,34.71,19.60,15.85,19.14,
USNM 398698,Saimiri sciureus,,M,61.12,24.04,34.48,18.67,14.81,18.42,
USNM 398669,Saimiri sciureus,,F,60.76,23.99,34.21,20.71,15.74,18.69,
USNM 398658,Saimiri sciureus,,M,63.41,25.01,34.96,20.40,16.16,18.61,
USNM 398624,Saimiri sciureus,,M,63.31,26.43,36.33,20.93,16.43,19.38,
USNM 398694,Saimiri sciureus,,M,62.71,26.01,34.50,19.24,15.65,19.34,
USNM 398657,Saimiri sciureus,,F,62.17,25.59,33.00,19.57,15.96,19.19,
USNM 398623,Saimiri sciureus,,M,65.00,25.03,37.47,20.45,17.28,18.65,
USNM 398676,Saimiri sciureus,,F,59.76,24.71,32.36,17.58,14.57,17.65,
USNM 398655,Saimiri sciureus,,M,64.86,25.82,35.17,18.74,17.90,19.16,
USNM 398651,Saimiri sciureus,,M,63.30,26.19,34.92,21.67,16.22,18.68,
USNM 398689,Saimiri sciureus,,M,67.36,28.21,34.99,20.86,16.59,20.35,
USNM 398675,Saimiri sciureus,,F,61.06,26.19,33.77,18.17,15.79,18.00,
USNM 398659,Saimiri sciureus,,F,62.57,25.83,34.37,18.47,15.68,19.41,
USNM 398688,Saimiri sciureus,,F,57.86,23.73,30.94,17.35,13.95,17.97,
USNM 398674,Saimiri sciureus,,F,59.91,25.39,32.73,17.81,16.44,18.00,
USNM 398653,Saimiri sciureus,,F,61.46,25.89,32.86,19.59,15.64,17.69,
USNM 398631,Saimiri sciureus,,F,61.58,24.99,32.61,19.94,16.27,19.12,
USNM 398687,Saimiri sciureus,,F,60.53,24.87,33.20,19.20,15.24,19.49,
USNM 398673,Saimiri sciureus,,F,63.26,26.50,36.09,20.74,16.04,20.17,
USNM 398629,Saimiri sciureus,,F,61.41,25.19,34.95,18.47,15.32,18.92,
USNM 291053,Saimiri oerstedii,,F,60.69,26.57,34.70,19.53,14.67,19.82,
USNM 291050,Saimiri oerstedii,,F,59.23,24.86,31.89,18.43,14.77,19.18,
USNM 291047,Saimiri oerstedii,,F,58.53,26.45,31.83,18.25,13.65,19.55,
USNM 363148,Saimiri oerstedii,,F,61.01,25.25,33.65,20.85,13.63,18.98,
USNM 363147,Saimiri oerstedii,,M,63.14,27.37,34.55,19.26,16.25,20.96,
USNM 363144,Saimiri oerstedii,,F,59.70,25.50,33.47,18.15,14.27,19.80,
USNM 363149,Saimiri oerstedii,,F,60.64,26.20,33.45,19.08,13.82,19.21,
USNM 271132,Saimiri oerstedii,,M,59.00,25.73,32.82,18.82,14.80,18.99,
USNM 397668,Saimiri boliviensis,,F,58.32,25.37,32.49,18.28,15.06,17.74,
USNM 397670,Saimiri boliviensis,,F,59.37,25.89,31.70,19.98,14.31,18.94,
USNM 397669,Saimiri boliviensis,,F,61.70,26.38,33.64,19.15,13.97,18.25,
USNM 397667,Saimiri boliviensis,,F,58.22,25.54,30.73,18.82,15.50,18.31,
USNM 398622,Saimiri boliviensis,,F,58.15,25.41,32.57,18.06,15.18,20.37,
USNM 396265,Saimiri boliviensis,,F,58.68,24.91,32.08,20.04,14.79,18.54,
USNM 194347,Saimiri boliviensis,,F,59.55,23.75,31.66,17.10,14.80,18.97,
USNM 398621,Saimiri boliviensis,,F,58.56,24.84,32.91,18.57,14.48,18.74,
USNM 364496,Saimiri boliviensis,,M,67.57,28.08,33.64,20.53,16.54,21.38,
USNM 396800,Aotus lemurinus,,M,61.15,28.20,32.50,21.86,16.02,20.03,
USNM 396795,Aotus lemurinus,,F,61.57,28.44,30.53,21.35,16.82,20.70,
USNM 396939,Aotus lemurinus,,F,62.43,28.23,30.98,23.90,16.78,21.25,
USNM 396768,Aotus lemurinus,,M,62.07,28.41,31.07,23.03,16.11,20.78,
USNM 396799,Aotus lemurinus,,M,64.71,28.09,32.28,21.63,17.55,20.87,
USNM 396940,Aotus lemurinus,,F,60.52,27.46,31.08,20.90,16.00,19.80,
USNM 396796,Aotus lemurinus,,M,57.71,26.15,31.17,20.33,15.63,18.97,
USNM 396774,Aotus lemurinus,,M,61.94,26.48,31.67,22.05,17.52,19.33,
USNM 396788,Aotus lemurinus,,F,61.06,28.04,32.15,20.35,16.34,21.44,
USNM 396720,Aotus lemurinus,,F,62.05,27.81,30.68,22.58,16.57,20.99,
USNM 281560,Aotus lemurinus,griseimembra,F,60.64,27.17,29.86,20.43,16.05,19.86,
USNM 281551,Aotus lemurinus,griseimembra,M,61.83,29.12,30.73,20.80,17.44,21.02,
USNM 281555,Aotus lemurinus,griseimembra,M,60.40,28.16,29.07,21.09,17.29,21.49,
USNM 281554,Aotus lemurinus,griseimembra,M,59.38,27.66,29.32,20.22,15.71,20.74,
USNM 281558,Aotus lemurinus,griseimembra,F,61.75,27.40,31.13,22.75,15.73,20.54,
USNM 281552,Aotus lemurinus,griseimembra,F,58.73,27.96,29.11,18.77,16.69,20.38,
USNM 396499,Aotus lemurinus,griseimembra,F,62.14,26.65,31.93,21.99,15.33,19.34,
USNM 396504,Aotus lemurinus,griseimembra,M,63.74,28.26,30.71,23.13,17.34,20.43,
USNM 396506,Aotus lemurinus,griseimembra,M,62.59,27.82,31.69,22.89,17.80,20.52,
USNM 179920,Aotus lemurinus,griseimembra,M,59.48,26.67,31.08,21.58,17.69,19.80,
USNM 396505,Aotus lemurinus,griseimembra,M,62.56,27.55,31.54,23.15,17.49,20.47,
USNM 179919,Aotus lemurinus,griseimembra,F,60.04,26.68,31.81,23.75,17.05,19.95,frontonasal suture partially obliterated
USNM 179922,Aotus lemurinus,griseimembra,F,61.61,26.48,29.77,22.36,17.22,20.53,
USNM 305915,Aotus lemurinus,griseimembra,M,59.85,26.31,29.46,20.65,17.14,20.76,
USNM 284777,Aotus lemurinus,griseimembra,M,61.92,27.00,30.46,22.87,17.33,19.81,
USNM 291971,Aotus lemurinus,griseimembra,F,59.73,26.95,32.14,22.10,16.45,19.61,
USNM 284779,Aotus lemurinus,griseimembra,F,61.08,26.53,29.84,22.83,16.73,19.87,frontonasal suture partially obliterated
USNM 305575,Aotus lemurinus,griseimembra,M,62.66,28.23,31.52,22.80,17.53,19.64,
USNM 284776,Aotus lemurinus,griseimembra,F,61.93,26.25,30.76,22.10,16.99,20.32,
USNM 396786,Aotus lemurinus,,F,60.12,26.29,32.10,22.59,16.29,19.47,
USNM 406555,Aotus trivirgatus,,F,63.12,27.29,31.41,21.83,17.43,19.25,
USNM 406557,Aotus trivirgatus,,F,62.63,27.13,30.01,22.47,17.77,20.12,
USNM 396140,Aotus trivirgatus,,F,60.40,26.75,29.93,22.21,16.91,20.96,
USNM 396141,Aotus trivirgatus,,M,61.18,26.25,32.19,21.62,15.65,21.42,
USNM 396139,Aotus trivirgatus,,F,55.61,25.03,27.82,18.77,14.96,18.62,
USNM 396138,Aotus trivirgatus,,M,61.68,27.11,30.88,24.82,18.09,20.78,
USNM 396382,Aotus trivirgatus,,M,62.70,25.96,30.14,24.13,16.75,20.64,
USNM 396157,Aotus trivirgatus,,M,62.80,30.12,31.58,23.13,17.78,20.84,
USNM 396156,Aotus trivirgatus,,M,64.14,30.15,33.08,21.43,17.57,20.36,
USNM 396151,Aotus trivirgatus,,F,59.82,26.85,31.31,20.50,16.64,21.28,
USNM 396152,Aotus trivirgatus,,F,58.77,25.68,30.81,20.35,15.17,19.91,
USNM 396155,Aotus trivirgatus,,F,61.03,27.32,30.64,23.49,17.97,21.21,
USNM 396158,Aotus trivirgatus,,M,61.85,28.96,31.54,22.09,17.02,20.60,
USNM 396380,Aotus trivirgatus,,F,62.33,28.12,30.59,22.23,18.41,20.96,
USNM 396679,Aotus trivirgatus,,M,62.33,28.96,31.17,23.44,17.88,20.51,
USNM 396686,Aotus trivirgatus,,M,60.86,27.65,33.52,21.67,16.74,20.74,
USNM 396711,Aotus trivirgatus,,M,62.82,27.91,31.83,22.67,17.04,20.75,
USNM 396972,Aotus trivirgatus,,F,59.20,27.29,29.49,17.30,16.74,19.21,
USNM 396712,Aotus trivirgatus,,M,61.42,28.71,31.28,21.32,17.59,20.52,
USNM 396941,Aotus trivirgatus,,F,59.87,27.23,31.26,21.87,16.43,20.87,
USNM 396696,Aotus nigriceps,,F,61.35,28.11,30.11,22.32,17.19,20.61,
USNM 396691,Aotus nigriceps,,M,64.31,28.30,34.26,23.11,18.35,21.07,
USNM 396692,Aotus nigriceps,,M,65.95,29.69,28.71,23.15,18.28,21.23,
USNM 396728,Aotus nigriceps,,M,59.87,27.00,29.89,22.58,16.70,20.20,
USNM 396725,Aotus nigriceps,,M,63.16,29.51,31.76,25.94,19.02,22.31,
